sr_no,date,startup_name,industry_vertical,city_location,investors_name,investmentntype,amount_in_usd,year,month
946,2017-07-03,Data Resolve,Technology,Noida,IDFC Parampara Early Stage Opportunities Fund,Private Equity,1000000.0,2017,7
947,2017-07-03,Book Servicing,Consumer Internet,New Delhi,National Science and Technology Entrepreneurship Development Board,Seed Funding,30000.0,2017,7
948,2017-07-03,Blowhorn,Consumer Internet,Bangalore,"IDG Ventures India, Michael & Susan Dell Foundation, Draper Associates, Unitus Seed Fund",Private Equity,3650000.0,2017,7
949,2017-08-03,Rivigo,Logistics,Gurgaon,Private Sector Banks (Debt Funding),Private Equity,15000000.0,2017,8
950,2017-08-03,PipeCandy,Technology,Chennai,"IDG ventures, Axilor Ventures, Emergent Ventures, Indian Angel Network",Seed Funding,1100000.0,2017,8
951,2017-08-03,Supr Daily,Consumer Internet,Mumbai,Y Combinator,Seed Funding,120000.0,2017,8
953,2017-09-03,AppBrowzer,Consumer Internet,Bangalore,Deepak Gurnani,Seed Funding,500000.0,2017,9
954,2017-09-03,MagicBricks,Consumer Internet,Mumbai,Times Internet Ltd,Private Equity,4500000.0,2017,9
955,2017-10-03,PeeBuddy,Healthcare,New Delhi,Indian Angel Network,Seed Funding,443000.0,2017,10
957,2017-10-03,Lavelle Networks,Technology,Bangalore,Ideaspring Capital,Seed Funding,600000.0,2017,10
998,2017-06-02,Capital Float,Consumer Internet,Bangalore,IFMR Capital Finance,Private Equity,2500000.0,2017,6
1000,2017-07-02,Inner Hour,Consumer Internet,Mumbai,"Batlivala & Karani Securities, Venture Works",Seed Funding,450000.0,2017,7
1001,2017-07-02,Travel Triangle,Consumer Internet,Noida,"RB Investments, SAIF Partners, Bessemer Venture Partners",Private Equity,10000000.0,2017,7
1002,2017-08-02,Wandertrails,Consumer Internet,Bangalore,Earlsfield Capital,Seed Funding,1000000.0,2017,8
1003,2017-08-02,Zenatix,Technology,Gurgaon,"pi Ventures, Blume Ventures",Private Equity,1200000.0,2017,8
1004,2017-08-02,Cartrade,Consumer Internet,Mumbai,Temasek Holdings,Private Equity,55000000.0,2017,8
1006,2017-08-02,Edurev,Consumer Internet,Gurgaon,Facebook FB Start programme,Seed Funding,40000.0,2017,8
1007,2017-09-02,Voonik,ECommerce,Bangalore,"RB Investments, Sequoia Capital",Private Equity,6000000.0,2017,9
1009,2017-09-02,Wooplr,ECommerce,Bangalore,"Sistema Asia Fund, Amereus Group, Helion Ventures",Private Equity,8000000.0,2017,9
1010,2017-10-02,48East,ECommerce,Bangalore,Al Dhaheri family,Private Equity,500000.0,2017,10
1044,2017-02-01,TaxSutra,Consumer Internet,Pune,"TV Mohandas Pai, V Balakrishnan, PV Srinivasan",Seed Funding,366000.0,2017,2
1045,2017-03-01,TempoGo,Technology,Other,K2 Capital,Seed Funding,825000.0,2017,3
1051,2017-06-01,Leap India,Logistics,Mumbai,"India Nivesh Growth Fund, Sixth Sense, TCI Ventures",Private Equity,13000000.0,2017,6
1052,2017-07-01,FreeCharge,Consumer Internet,Mumbai,Jasper Infotech Pvt Ltd,Private Equity,57000000.0,2017,7
1053,2017-09-01,TicketNew,Consumer Internet,Chennai,Alibaba Pictures,Private Equity,35000000.0,2017,9
1054,2017-10-01,Intelligence Node,Technology,Mumbai,BlackSoil Capital Pvt Ltd,Private Equity,800000.0,2017,10
1055,2017-10-01,Securens,Technology,Mumbai,"Mayfield India, Trifecta Capital",Private Equity,5000000.0,2017,10
1056,2017-10-01,Loan Frame,Consumer Internet,Gurgaon,"Vedanta Capital, William Campbell, Toos N Daruvala",Private Equity,2250000.0,2017,10
1058,2017-10-01,Medinfi,Consumer Internet,Bangalore,"Vinod Martin, Evan Lim, Kanchan Ghoshal, Ram Kumar Kakani",Seed Funding,100000.0,2017,10
1059,2017-10-01,LensKart,eCommerce,Bangalore,Ronnie Screwvala,Private Equity,3500000.0,2017,10
1061,2017-12-01,Hansel.io,Consumer Internet,Bangalore,"IDG Ventures, Endiya Partners",Private Equity,1350000.0,2017,12
1062,2017-12-01,Square Yards,Consumer Internet,Gurgaon,"Lohia Group, Andre Hoffman",Private Equity,10000000.0,2017,12
1116,2016-01-12,SidQam,Technology,Noida,"SQue Capital, Grace Capital Ventures, Soham Vencaps",Private Equity,1200000.0,2016,1
1117,2016-01-12,India Lends,Consumer Internet,New Delhi,"DSG Consumer Partners, American Express Ventures, Cyber Carrier VC, AdvantEdge Partners",Private Equity,4000000.0,2016,1
1118,2016-01-12,Slide App,Consumer Internet,New Delhi,Songhyun Investment,Private Equity,3600000.0,2016,1
1119,2016-02-12,Badiyajobs,Consumer Internet,New Delhi,Undisclosed,Seed Funding,100000.0,2016,2
1121,2016-02-12,TYGR,Technology,Mumbai,Franchise India,Private Equity,3000000.0,2016,2
1123,2016-05-12,UrDoorStep,eCommerce,Bangalore,Lakshmi Vilas Bank & undisclosed HNIs,Private Equity,1400000.0,2016,5
1125,2016-06-12,Diro Labs,Consumer Internet,New Delhi,Info Edge (India),Seed Funding,147000.0,2016,6
